movieId,countryId
2,33
3,33
5,1
6,1
6,12
11,1
12,1
13,1
14,1
15,1
16,1
16,2
16,3
16,4
16,5
16,14
16,31
16,33
16,34
16,35
16,36
16,53
17,2
17,3
18,4
19,2
20,6
20,10
21,1
22,1
24,1
25,1
25,2
26,34
26,61
27,3
28,1
30,12
33,1
35,1
38,1
58,1
59,1
59,2
59,10
62,1
62,3
63,1
64,6
65,1
66,1
67,2
67,4
67,14
67,61
67,108
68,3
69,1
69,2
70,1
71,3
71,4
73,1
74,1
75,1
76,1
76,11
76,23
77,1
78,1
78,3
78,16
79,7
80,1
81,12
82,1
82,2
82,79
82,110
83,1
85,1
86,2
86,18
87,1
88,1
89,1
90,1
91,6
92,23
93,1
95,1
96,1
97,1
98,1
98,3
99,4
99,6
100,3
101,1
101,4
102,31
103,1
104,2
105,1
106,1
107,1
107,3
108,4
108,27
109,4
109,27
110,4
110,11
110,27
111,1
112,31
112,34
113,2
113,37
114,1
115,1
115,3
116,1
116,3
116,18
116,21
116,56
117,1
118,1
118,3
118,8
120,1
120,25
121,1
121,25
122,1
122,25
123,1
124,27
127,27
128,12
129,12
132,1
134,1
134,3
134,4
135,3
136,1
137,1
138,1
139,31
139,34
140,6
141,1
142,1
142,10
143,1
144,2
144,4
145,4
145,14
145,31
145,34
145,36
145,53
146,1
146,7
146,16
146,24
147,4
148,6
149,12
150,1
152,1
153,1
153,12
155,1
155,3
156,3
156,4
156,31
156,34
157,1
158,2
158,14
158,15
159,2
160,4
161,1
162,1
163,1
164,1
165,1
166,4
167,1
167,2
167,3
168,1
169,1
170,3
171,4
172,1
173,1
174,1
175,1
175,4
175,5
176,1
177,1
178,1
179,1
179,2
179,3
179,4
180,1
182,1
183,1
184,1
185,1
185,3
186,1
186,2
187,1
189,1
192,2
192,4
192,5
193,1
194,2
194,4
195,1
196,1
197,1
198,1
199,1
200,1
201,1
203,1
204,4
204,5
205,1
205,3
205,5
205,9
205,10
206,2
206,3
206,4
206,8
207,1
211,2
212,1
213,1
214,1
215,1
216,2
217,1
218,1
218,3
219,6
220,1
221,1
222,2
223,1
224,27
225,27
226,1
227,1
228,2
229,1
231,1
232,1
233,1
234,2
235,1
236,4
236,8
237,3
237,4
238,1
239,1
240,1
241,1
242,1
242,5
243,1
243,3
244,1
245,1
245,3
246,12
247,1
248,1
249,1
250,31
251,1
252,1
253,3
254,1
254,2
254,25
255,4
256,4
257,3
257,4
257,5
257,40
258,4
259,4
260,3
261,1
262,1
265,2
266,4
266,5
267,4
267,6
268,1
268,3
269,4
271,34
271,53
272,1
272,3
273,2
274,1
275,1
276,2
276,23
277,1
277,2
277,3
277,39
278,1
279,1
280,1
280,4
281,1
284,1
285,1
286,2
287,1
288,1
289,1
290,1
290,3
291,1
291,4
292,1
293,1
294,1
296,1
296,2
296,3
297,1
298,1
299,1
300,4
300,5
301,1
302,3
302,4
303,1
306,1
307,5
308,1
308,4
309,31
309,34
310,1
311,1
311,5
312,2
313,3
313,10
314,1
315,1
316,2
317,2
317,20
317,23
317,66
318,1
318,2
319,1
320,1
321,10
322,1
326,1
327,1
327,3
327,12
329,1
330,1
331,1
332,1
333,10
334,1
335,1
335,5
335,6
336,5
337,4
338,2
339,1
339,2
339,3
339,4
339,33
340,1
342,2
343,1
344,2
345,1
345,3
346,12
347,2
348,1
348,3
349,4
350,1
363,2
363,62
364,1
364,3
377,1
378,1
379,1
381,1
383,1
387,2
388,1
389,1
390,2
390,32
391,2
391,5
391,6
392,1
392,3
393,1
395,1
395,2
395,3
395,10
395,40
396,1
397,1
397,3
398,1
398,10
400,1
401,1
402,1
402,4
403,1
404,1
405,5
406,4
407,2
408,1
409,1
409,3
410,2
411,1
411,3
414,1
414,3
415,1
415,3
421,1
422,4
422,5
423,2
423,3
423,4
423,27
424,1
425,1
426,1
427,4
427,5
428,2
429,1
429,2
429,5
429,6
430,1
431,10
433,1
434,2
435,1
436,1
436,63
436,77
437,10
438,10
439,4
439,5
440,1
441,1
442,33
442,34
445,1
445,2
445,4
445,5
445,23
451,1
452,2
452,4
452,5
452,14
452,31
452,34
453,1
454,1
455,1
455,2
455,3
455,41
457,23
458,2
458,23
459,2
459,23
460,2
462,1
464,34
465,4
466,1
467,3
468,1
469,1
470,1
471,2
471,4
471,27
473,1
475,1
476,1
479,1
